location,date,weekday,hour,headcount,below_min,staff
Northside,2026-09-14,Mon,06:00,2,YES,Blake Duarte; Casey Schmidt
Northside,2026-09-14,Mon,07:00,2,YES,Blake Duarte; Casey Schmidt
Northside,2026-09-14,Mon,08:00,2,YES,Blake Duarte; Casey Schmidt
Northside,2026-09-14,Mon,09:00,2,YES,Blake Duarte; Casey Schmidt
Northside,2026-09-14,Mon,10:00,2,YES,Blake Duarte; Casey Schmidt
Northside,2026-09-14,Mon,11:00,2,YES,Blake Duarte; Casey Schmidt
Northside,2026-09-14,Mon,12:00,3,,Casey Schmidt; Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,13:00,3,,Casey Schmidt; Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,14:00,2,YES,Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,15:00,2,YES,Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,16:00,4,,Emerson Reyes; Jamie Larsen; Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,17:00,4,,Emerson Reyes; Jamie Larsen; Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,18:00,4,,Emerson Reyes; Jamie Larsen; Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,19:00,4,,Emerson Reyes; Jamie Larsen; Reese Moreau; Taylor Mendez
Northside,2026-09-14,Mon,20:00,2,YES,Emerson Reyes; Jamie Larsen
Northside,2026-09-14,Mon,21:00,2,YES,Emerson Reyes; Jamie Larsen
Northside,2026-09-15,Tue,06:00,5,,Alex Okafor; Dakota Kim; Peyton Patel; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,07:00,5,,Alex Okafor; Dakota Kim; Peyton Patel; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,08:00,5,,Alex Okafor; Dakota Kim; Peyton Patel; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,09:00,5,,Alex Okafor; Dakota Kim; Peyton Patel; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,10:00,5,,Alex Okafor; Dakota Kim; Peyton Patel; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,11:00,5,,Alex Okafor; Dakota Kim; Peyton Patel; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,12:00,6,,Alex Okafor; Finley Novak; Peyton Patel; Quinn Costa; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,13:00,6,,Alex Okafor; Finley Novak; Peyton Patel; Quinn Costa; Reese Moreau; Taylor Mendez
Northside,2026-09-15,Tue,14:00,2,YES,Finley Novak; Quinn Costa
Northside,2026-09-15,Tue,15:00,2,YES,Finley Novak; Quinn Costa
Northside,2026-09-15,Tue,16:00,5,,Blake Duarte; Casey Schmidt; Emerson Reyes; Finley Novak; Quinn Costa
Northside,2026-09-15,Tue,17:00,5,,Blake Duarte; Casey Schmidt; Emerson Reyes; Finley Novak; Quinn Costa
Northside,2026-09-15,Tue,18:00,5,,Blake Duarte; Casey Schmidt; Emerson Reyes; Finley Novak; Quinn Costa
Northside,2026-09-15,Tue,19:00,5,,Blake Duarte; Casey Schmidt; Emerson Reyes; Finley Novak; Quinn Costa
Northside,2026-09-15,Tue,20:00,3,,Blake Duarte; Casey Schmidt; Emerson Reyes
Northside,2026-09-15,Tue,21:00,3,,Blake Duarte; Casey Schmidt; Emerson Reyes
Northside,2026-09-16,Wed,06:00,2,YES,Alex Okafor; Emerson Reyes
Northside,2026-09-16,Wed,07:00,2,YES,Alex Okafor; Emerson Reyes
Northside,2026-09-16,Wed,08:00,2,YES,Alex Okafor; Emerson Reyes
Northside,2026-09-16,Wed,09:00,2,YES,Alex Okafor; Emerson Reyes
Northside,2026-09-16,Wed,10:00,2,YES,Alex Okafor; Emerson Reyes
Northside,2026-09-16,Wed,11:00,2,YES,Alex Okafor; Emerson Reyes
Northside,2026-09-16,Wed,12:00,7,,Alex Okafor; Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,13:00,7,,Alex Okafor; Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,14:00,6,,Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,15:00,6,,Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,16:00,6,,Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,17:00,6,,Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,18:00,6,,Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,19:00,6,,Dakota Kim; Drew Fischer; Finley Novak; Kendall Chen; Peyton Patel; Taylor Mendez
Northside,2026-09-16,Wed,20:00,0,YES,
Northside,2026-09-16,Wed,21:00,0,YES,
Northside,2026-09-17,Thu,06:00,5,,Alex Okafor; Blake Duarte; Finley Novak; Kendall Chen; Reese Moreau
Northside,2026-09-17,Thu,07:00,5,,Alex Okafor; Blake Duarte; Finley Novak; Kendall Chen; Reese Moreau
Northside,2026-09-17,Thu,08:00,5,,Alex Okafor; Blake Duarte; Finley Novak; Kendall Chen; Reese Moreau
