employee,role,shifts,hours,overtime_hours,overtime
Alex Okafor,Supervisor,6,48.00,8.00,YES
Riley Nakamura,Associate,6,48.00,8.00,YES
Finley Novak,Trainee,5,40.00,0.00,
Morgan Lindqvist,Supervisor,5,40.00,0.00,
Peyton Patel,Associate,5,40.00,0.00,
Rowan Park,Associate,5,40.00,0.00,
Taylor Mendez,Supervisor,5,40.00,0.00,
Avery Olsen,Associate,5,38.00,0.00,
Dakota Kim,Trainee,5,38.00,0.00,
Elliot Walsh,Trainee,5,38.00,0.00,
Jordan Tanaka,Supervisor,5,38.00,0.00,
Logan Haddad,Associate,5,38.00,0.00,
Skyler Byrne,Associate,5,38.00,0.00,
Casey Schmidt,Associate,5,36.00,0.00,
Blake Duarte,Trainee,5,32.00,0.00,
Cameron Silva,Trainee,5,32.00,0.00,
Parker Ivanova,Associate,4,32.00,0.00,
Reese Moreau,Associate,4,32.00,0.00,
Sawyer Adeyemi,Trainee,4,32.00,0.00,
Jamie Larsen,Associate,4,30.00,0.00,
Hayden Rivera,Associate,4,28.00,0.00,
Kendall Chen,Associate,4,28.00,0.00,
Emerson Reyes,Associate,4,26.00,0.00,
Drew Fischer,Associate,3,24.00,0.00,
Quinn Costa,Associate,3,24.00,0.00,
