employee,role,date,start,end,location
Blake Duarte,Trainee,2026-09-14,06:00,12:00,Northside
Casey Schmidt,Associate,2026-09-14,06:00,14:00,Northside
Reese Moreau,Associate,2026-09-14,12:00,20:00,Northside
Taylor Mendez,Supervisor,2026-09-14,12:00,20:00,Northside
Emerson Reyes,Associate,2026-09-14,16:00,22:00,Northside
Jamie Larsen,Associate,2026-09-14,16:00,22:00,Northside
Riley Nakamura,Associate,2026-09-14,06:00,14:00,Riverside
Rowan Park,Associate,2026-09-14,06:00,14:00,Riverside
Elliot Walsh,Trainee,2026-09-14,10:00,18:00,Riverside
Logan Haddad,Associate,2026-09-14,10:00,18:00,Riverside
Jordan Tanaka,Supervisor,2026-09-14,14:00,22:00,Riverside
Morgan Lindqvist,Supervisor,2026-09-14,14:00,22:00,Riverside
Cameron Silva,Trainee,2026-09-14,16:00,22:00,Riverside
Alex Okafor,Supervisor,2026-09-15,06:00,14:00,Northside
Dakota Kim,Trainee,2026-09-15,06:00,12:00,Northside
Peyton Patel,Associate,2026-09-15,06:00,14:00,Northside
Reese Moreau,Associate,2026-09-15,06:00,14:00,Northside
Taylor Mendez,Supervisor,2026-09-15,06:00,14:00,Northside
Finley Novak,Trainee,2026-09-15,12:00,20:00,Northside
Quinn Costa,Associate,2026-09-15,12:00,20:00,Northside
Blake Duarte,Trainee,2026-09-15,16:00,22:00,Northside
Casey Schmidt,Associate,2026-09-15,16:00,22:00,Northside
Emerson Reyes,Associate,2026-09-15,16:00,22:00,Northside
Hayden Rivera,Associate,2026-09-15,06:00,14:00,Riverside
Riley Nakamura,Associate,2026-09-15,06:00,14:00,Riverside
Morgan Lindqvist,Supervisor,2026-09-15,10:00,18:00,Riverside
Avery Olsen,Associate,2026-09-15,12:00,20:00,Riverside
Sawyer Adeyemi,Trainee,2026-09-15,12:00,20:00,Riverside
Skyler Byrne,Associate,2026-09-15,12:00,20:00,Riverside
Parker Ivanova,Associate,2026-09-15,14:00,22:00,Riverside
Rowan Park,Associate,2026-09-15,14:00,22:00,Riverside
Cameron Silva,Trainee,2026-09-15,16:00,22:00,Riverside
Alex Okafor,Supervisor,2026-09-16,06:00,14:00,Northside
Emerson Reyes,Associate,2026-09-16,06:00,12:00,Northside
Dakota Kim,Trainee,2026-09-16,12:00,20:00,Northside
Drew Fischer,Associate,2026-09-16,12:00,20:00,Northside
Finley Novak,Trainee,2026-09-16,12:00,20:00,Northside
Kendall Chen,Associate,2026-09-16,12:00,20:00,Northside
Peyton Patel,Associate,2026-09-16,12:00,20:00,Northside
Taylor Mendez,Supervisor,2026-09-16,12:00,20:00,Northside
Avery Olsen,Associate,2026-09-16,06:00,12:00,Riverside
Elliot Walsh,Trainee,2026-09-16,06:00,12:00,Riverside
Skyler Byrne,Associate,2026-09-16,06:00,14:00,Riverside
Jordan Tanaka,Supervisor,2026-09-16,10:00,18:00,Riverside
Hayden Rivera,Associate,2026-09-16,12:00,20:00,Riverside
Parker Ivanova,Associate,2026-09-16,12:00,20:00,Riverside
Alex Okafor,Supervisor,2026-09-17,06:00,14:00,Northside
Blake Duarte,Trainee,2026-09-17,06:00,12:00,Northside
Finley Novak,Trainee,2026-09-17,06:00,14:00,Northside
Kendall Chen,Associate,2026-09-17,06:00,12:00,Northside
Reese Moreau,Associate,2026-09-17,06:00,14:00,Northside
Peyton Patel,Associate,2026-09-17,12:00,20:00,Northside
Emerson Reyes,Associate,2026-09-17,14:00,22:00,Northside
Jamie Larsen,Associate,2026-09-17,14:00,22:00,Northside
Cameron Silva,Trainee,2026-09-17,06:00,14:00,Riverside
Riley Nakamura,Associate,2026-09-17,06:00,14:00,Riverside
Avery Olsen,Associate,2026-09-17,10:00,18:00,Riverside
Elliot Walsh,Trainee,2026-09-17,10:00,18:00,Riverside
Morgan Lindqvist,Supervisor,2026-09-17,12:00,20:00,Riverside
Parker Ivanova,Associate,2026-09-17,12:00,20:00,Riverside
Hayden Rivera,Associate,2026-09-17,16:00,22:00,Riverside
Logan Haddad,Associate,2026-09-17,16:00,22:00,Riverside
Skyler Byrne,Associate,2026-09-17,16:00,22:00,Riverside
Alex Okafor,Supervisor,2026-09-18,06:00,14:00,Northside
